Ticket,Symbol,Type,ActionTime,ActionPrice,MaxDD,CloseTime,ClosePrice,Reward,SL,PT,DateDuration,Status
2,ABCD,0,2/12/2019 0:05,                     1.10572,-14,2/12/2019 14:40,1.10772,                      190, 200, 200,2,1
4,ABCD,0,2/12/2019 0:10,                     1.10564,-4,2/12/2019 14:40,1.10764,                      190, 200, 200,2,1
6,ABCD,0,2/12/2019 0:15,                     1.10566,-7,2/12/2019 14:40,1.10766,                      190, 200, 200,2,1
10,ABCD,0,2/12/2019 0:25,                     1.10569,-9,2/12/2019 14:40,1.10769,                      190, 200, 200,2,1
14,GBPUSD,0,2/12/2019 14:50,                     1.10163,-1,2/12/2019 15:55,1.10363,                      190, 200, 200,2,1
3,GBPUSD,0,2/12/2019 0:10,                     1.10206,-178,2/12/2019 16:10,1.10406,                      190, 200, 200,2,1
1,GBPUSD,0,2/12/2019 0:05,                     1.10214,-186,2/12/2019 17:00,1.10633,                      409, 200, 419,2,1
9,GBPUSD,0,2/12/2019 0:25,                     1.10211,-183,2/12/2019 17:00,1.10536,                      315, 200, 325,2,1
15,GBPUSD,1,2/12/2019 15:55,                     1.10325,-309,2/12/2019 17:00,1.10525,                     -210, 200, 398,2,1
5,GBPUSD,0,2/12/2019 0:15,                     1.10207,-180,2/12/2019 17:05,1.10548,                      331, 200, 341,2,1
7,GBPUSD,0,2/12/2019 0:20,                     1.10210,-182,2/12/2019 17:10,1.10652,                      432, 200, 442,2,1
12,GBPUSD,0,2/12/2019 14:45,                     1.10137,-4,2/12/2019 17:20,1.10690,                      543, 200, 553,2,1
17,GBPUSD,0,2/12/2019 17:00,                     1.10585,-5,2/12/2019 18:05,1.10785,                      190, 200, 200,2,1
16,GBPUSD,0,2/12/2019 16:10,                     1.10416,-41,2/12/2019 18:10,1.10798,                      372, 200, 382,2,1
21,GBPUSD,1,2/12/2019 17:10,                     1.10618,-216,2/12/2019 18:10,1.10818,                     -210, 200, 212,2,1
19,GBPUSD,0,2/12/2019 17:05,                     1.10654,-51,2/12/2019 18:25,1.10854,                      190, 200, 200,2,1
11,ABCD,0,2/12/2019 14:40,                     1.10770,-220,2/12/2019 19:55,1.10570,                     -210, 200, 200,2,1
22,GBPUSD,1,2/12/2019 17:20,                     1.10715,-181,2/12/2019 1:00,1.10203,                      502, 200, 512,2,1
24,GBPUSD,1,2/12/2019 18:10,                     1.10825,-72,2/12/2019 1:00,1.10548,                      267, 200, 277,2,1
26,GBPUSD,1,2/12/2019 18:25,                     1.10879,-11,2/12/2019 1:00,1.10629,                      240, 200, 250,2,1
28,GBPUSD,0,2/12/2019 1:00,                     1.10182,-12,2/12/2019 20:00,1.10635,                      443, 200, 453,2,1
30,GBPUSD,1,2/12/2019 1:05,                     1.10185,-580,2/12/2019 20:00,1.10385,                     -210, 200, 512,2,1
13,ABCD,0,2/12/2019 14:45,                     1.10771,-218,2/12/2019 20:00,1.10571,                     -210, 200, 220,2,1
31,GBPUSD,0,2/12/2019 20:00,                     1.10712,-553,2/12/2019 2:00,1.10512,                     -210, 200, 200,2,1
33,GBPUSD,0,2/12/2019 20:05,                     1.10734,-574,2/12/2019 2:00,1.10534,                     -210, 200, 200,2,1
34,GBPUSD,0,2/12/2019 2:00,                     1.10161,-9,3/12/2019 0:00,1.10596,                      415, 200, 435,3,1
35,ABCD,0,2/12/2019 2:00,                     1.10553,-20,3/12/2019 10:35,1.10753,                      180, 200, 200,3,1
27,ABCD,0,2/12/2019 19:55,                     1.10566,-34,3/12/2019 11:10,1.10766,                      180, 200, 200,3,1
29,ABCD,0,2/12/2019 1:00,                     1.10588,-55,3/12/2019 12:00,1.10788,                      180, 200, 200,3,1
8,ABCD,0,2/12/2019 0:20,                     1.10582,-49,3/12/2019 13:15,1.10830,                      228, 200, 248,3,1
20,ABCD,0,2/12/2019 17:05,                     1.10700,-167,3/12/2019 17:50,1.10900,                      180, 200, 200,3,1
18,ABCD,0,2/12/2019 17:00,                     1.10718,-185,3/12/2019 18:05,1.10918,                      180, 200, 200,3,1
25,ABCD,0,2/12/2019 18:10,                     1.10728,-195,3/12/2019 18:05,1.10928,                      180, 200, 200,3,1
37,ABCD,0,3/12/2019 10:35,                     1.10744,-46,3/12/2019 18:05,1.10944,                      190, 200, 200,3,1
23,ABCD,0,2/12/2019 18:05,                     1.10715,-182,3/12/2019 18:10,1.10915,                      180, 200, 200,3,1
38,ABCD,0,3/12/2019 11:10,                     1.10763,-65,3/12/2019 18:15,1.10963,                      190, 200, 200,3,1
41,ABCD,1,3/12/2019 17:50,                     1.10878,-86,3/12/2019 1:00,1.10669,                      199, 200, 209,3,1
44,ABCD,0,3/12/2019 18:10,                     1.10948,-304,3/12/2019 1:00,1.10748,                     -210, 200, 200,3,1
46,ABCD,0,3/12/2019 18:15,                     1.10954,-310,3/12/2019 1:00,1.10754,                     -210, 200, 200,3,1
42,ABCD,0,3/12/2019 18:05,                     1.10946,-307,3/12/2019 1:05,1.10746,                     -210, 200, 200,3,1
40,ABCD,0,3/12/2019 13:15,                     1.10827,-202,3/12/2019 1:40,1.10627,                     -210, 200, 200,3,1
47,ABCD,0,3/12/2019 1:00,                     1.10644,-19,3/12/2019 20:00,1.10844,                      190, 200, 200,3,1
51,ABCD,0,3/12/2019 1:40,                     1.10629,-1,3/12/2019 20:00,1.10829,                      190, 200, 200,3,1
49,ABCD,0,3/12/2019 1:05,                     1.10638,-12,3/12/2019 20:10,1.10873,                      225, 200, 235,3,1
39,ABCD,0,3/12/2019 12:00,                     1.10773,-148,3/12/2019 21:50,1.10973,                      190, 200, 200,3,1
52,ABCD,0,3/12/2019 20:00,                     1.10853,-224,3/12/2019 2:00,1.10653,                     -210, 200, 200,3,1
54,ABCD,0,3/12/2019 20:10,                     1.10875,-245,3/12/2019 2:00,1.10675,                     -210, 200, 200,3,1
55,ABCD,0,3/12/2019 21:50,                     1.10965,-337,3/12/2019 2:05,1.10765,                     -210, 200, 200,3,1
56,ABCD,0,3/12/2019 2:00,                     1.10630,-1,4/12/2019 0:00,1.10830,                      180, 200, 200,4,1
58,ABCD,0,3/12/2019 2:05,                     1.10645,-15,4/12/2019 0:00,1.10845,                      180, 200, 200,4,1
53,GBPUSD,0,3/12/2019 20:05,                     1.10893,-201,4/12/2019 11:20,1.10693,                     -220, 200, 268,4,1
59,ABCD,0,4/12/2019 0:00,                     1.10924,-222,4/12/2019 14:55,1.10724,                     -210, 200, 200,4,1
48,GBPUSD,0,3/12/2019 1:05,                     1.10762,-97,4/12/2019 15:45,1.10962,                      180, 200, 200,4,1
57,GBPUSD,1,3/12/2019 2:05,                     1.10771,-208,4/12/2019 15:45,1.10971,                     -220, 200, 569,4,1
36,GBPUSD,0,3/12/2019 0:00,                     1.10781,-123,4/12/2019 15:50,1.10981,                      180, 200, 200,4,1
45,GBPUSD,1,3/12/2019 18:15,                     1.10813,-217,4/12/2019 15:50,1.11013,                     -220, 200, 311,4,1
61,GBPUSD,0,4/12/2019 11:20,                     1.10693,-28,4/12/2019 15:50,1.11014,                      311, 200, 321,4,1
43,GBPUSD,1,3/12/2019 18:10,                     1.10787,-287,4/12/2019 15:55,1.10987,                     -220, 200, 273,4,1
50,GBPUSD,0,3/12/2019 1:10,                     1.10768,-103,4/12/2019 16:00,1.10968,                      180, 200, 200,4,1
67,GBPUSD,0,4/12/2019 15:55,                     1.11070,-231,4/12/2019 17:25,1.10870,                     -210, 200, 238,4,1
69,GBPUSD,0,4/12/2019 16:00,                     1.11058,-218,4/12/2019 17:25,1.10858,                     -210, 200, 490,4,1
65,GBPUSD,0,4/12/2019 15:50,                     1.11011,-200,4/12/2019 17:45,1.10811,                     -210, 200, 297,4,1
63,GBPUSD,0,4/12/2019 15:45,                     1.10962,-282,4/12/2019 18:50,1.10762,                     -210, 200, 410,4,1
32,ABCD,0,2/12/2019 20:00,                     1.10567,-34,4/12/2019 21:10,1.11033,                      436, 200, 466,4,1
64,ABCD,0,4/12/2019 15:45,                     1.10843,-14,4/12/2019 21:10,1.11043,                      190, 200, 200,4,1
68,ABCD,0,4/12/2019 15:55,                     1.10852,-22,4/12/2019 21:10,1.11052,                      190, 200, 200,4,1
70,GBPUSD,0,4/12/2019 17:25,                     1.10878,-208,4/12/2019 21:15,1.10678,                     -210, 200, 200,4,1
