,time,Open,High,Low,Close,symbol,minute,hour,weekday,week,month,year,day,macd,boll_ub,boll_lb,rsi_30,dx_30,close_30_sma,close_60_sma
0,2019-08-05 00:00:00,1.11026,1.11031,1.11026,1.11031,GBPUSD,0,0,0,32,8,2019,5,-0.00010323921009050321,1.1111399446178405,1.1102530553821595,43.56547788235987,13.868639362402135,1.1107953333333331,1.1109081666666667
1,2019-08-05 00:05:00,1.11085,1.11099,1.11085,1.11097,GBPUSD,5,0,0,32,8,2019,5,-0.00010176227802183119,1.1111577789458853,1.1102472210541146,53.414567156586095,13.785982032469315,1.110798,1.1109095000000002
2,2019-08-05 00:10:00,1.11097,1.11101,1.11056,1.11088,GBPUSD,10,0,0,32,8,2019,5,-9.481977898837389e-05,1.1111505434994338,1.1102494565005663,52.131142738347066,13.343482780091081,1.1107973333333334,1.1109103333333332
3,2019-08-05 00:15:00,1.11088,1.11098,1.11086,1.11097,GBPUSD,15,0,0,32,8,2019,5,-8.31634948460091e-05,1.1111368957223335,1.1102561042776664,53.29212073831917,12.915733502792124,1.110787,1.1109110000000002
4,2019-08-05 00:20:00,1.11097,1.11103,1.11097,1.11103,GBPUSD,20,0,0,32,8,2019,5,-6.801693181014464e-05,1.1111347733771095,1.1102572266228903,54.06052359175342,12.566088437635731,1.1107813333333334,1.1109161666666667
5,2019-08-05 00:25:00,1.11103,1.11103,1.11102,1.11103,GBPUSD,25,0,0,32,8,2019,5,-5.132171309859355e-05,1.1111546189836048,1.1102483810163948,54.06052359175343,12.22809820798455,1.1107799999999999,1.1109188333333333
6,2019-08-05 00:30:00,1.11098,1.11113,1.11082,1.11097,GBPUSD,30,0,0,32,8,2019,5,-3.5371310356174385e-05,1.1111528453072947,1.1102491546927056,53.12523381317273,12.001926400923729,1.1107776666666667,1.110918
7,2019-08-05 00:35:00,1.11097,1.11108,1.11096,1.11106,GBPUSD,35,0,0,32,8,2019,5,-1.9207374495197823e-05,1.1111751025221026,1.1102388974778972,54.35073640019612,11.783293654098268,1.1107833333333332,1.1109203333333333
8,2019-08-05 00:40:00,1.11106,1.11109,1.11101,1.11108,GBPUSD,40,0,0,32,8,2019,5,-3.3940746289641875e-06,1.111224406236965,1.1102335937630348,54.6234565778984,11.556894087252761,1.1107903333333333,1.1109211666666667
9,2019-08-05 00:45:00,1.11108,1.11109,1.11103,1.11109,GBPUSD,45,0,0,32,8,2019,5,1.1537774021648995e-05,1.111269441080791,1.110228558919209,54.763244036535866,11.33804117263544,1.1107993333333332,1.1109173333333333
10,2019-08-05 00:50:00,1.11109,1.1111,1.11089,1.1109,GBPUSD,50,0,0,32,8,2019,5,2.207675799469716e-05,1.1112838625386914,1.1102381374613088,51.63664850128135,11.319957662512172,1.110797,1.1109078333333333
11,2019-08-05 00:55:00,1.1109,1.11094,1.1105,1.11069,GBPUSD,55,0,0,32,8,2019,5,2.5909163789522224e-05,1.1112836272086901,1.11023737279131,48.47243127315072,11.736038999292601,1.1107916666666668,1.1108958333333334
12,2019-08-05 01:00:00,1.11077,1.11097,1.11073,1.11082,GBPUSD,0,1,0,32,8,2019,5,2.735213711457324e-05,1.1112899521128325,1.1102510478871672,50.418142356820205,12.090996911913383,1.1107879999999999,1.1108856666666667
13,2019-08-05 01:05:00,1.11082,1.11089,1.11082,1.11086,GBPUSD,5,1,0,32,8,2019,5,2.7797652997426204e-05,1.1112983895971773,1.1102666104028227,51.00700310104374,12.434122894113472,1.1107820000000002,1.1108763333333334
14,2019-08-05 01:10:00,1.11085,1.11094,1.11075,1.11076,GBPUSD,10,1,0,32,8,2019,5,2.593582913119317e-05,1.1112987225429298,1.11028427745707,49.487000924482984,12.839791081765615,1.1107726666666666,1.1108661666666666
15,2019-08-05 01:15:00,1.11076,1.11079,1.11063,1.11077,GBPUSD,15,1,0,32,8,2019,5,2.282584045310657e-05,1.1112970545285834,1.1103079454714164,49.64224107445657,13.35343104321641,1.1107676666666666,1.1108551666666666
16,2019-08-05 01:20:00,1.11078,1.11087,1.11069,1.11086,GBPUSD,20,1,0,32,8,2019,5,2.0480429725738453e-05,1.1112935251011529,1.1103484748988472,51.043056644172424,13.711789755013656,1.1107636666666667,1.1108478333333334
17,2019-08-05 01:25:00,1.11086,1.11089,1.11079,1.11089,GBPUSD,25,1,0,32,8,2019,5,1.916914538799356e-05,1.1112927790385951,1.110384220961405,51.50819793273314,14.02349375370042,1.110762,1.1108453333333335
18,2019-08-05 01:30:00,1.11088,1.11093,1.11073,1.11077,GBPUSD,30,1,0,32,8,2019,5,1.6616550854320994e-05,1.1112737442487794,1.1104342557512206,49.55977526489171,14.394568679843092,1.1107663333333333,1.1108426666666666
19,2019-08-05 01:35:00,1.11077,1.11077,1.11059,1.11067,GBPUSD,35,1,0,32,8,2019,5,1.1786424285400962e-05,1.1112337579913871,1.1105042420086126,47.99467598219567,14.906989822431438,1.1107656666666665,1.1108366666666667
20,2019-08-05 01:40:00,1.11067,1.11067,1.11046,1.11047,GBPUSD,40,1,0,32,8,2019,5,2.5642411400927625e-06,1.111194032245858,1.1105599677541418,45.05112566895522,15.530624117068005,1.1107593333333332,1.1108289999999998
21,2019-08-05 01:45:00,1.11047,1.11055,1.11046,1.11051,GBPUSD,45,1,0,32,8,2019,5,-8.295023685709807e-06,1.1112072942305369,1.1105007057694631,45.73964209537684,16.133470601883353,1.110753,1.1108211666666667
22,2019-08-05 01:50:00,1.11051,1.11056,1.11044,1.11053,GBPUSD,50,1,0,32,8,2019,5,-1.9273124631079267e-05,1.1112179252670973,1.1104550747329027,46.089044425509606,16.73604481351386,1.11075,1.1108201666666666
23,2019-08-05 01:55:00,1.11054,1.11062,1.11053,1.11056,GBPUSD,55,1,0,32,8,2019,5,-2.9227659733707114e-05,1.111211042932587,1.110420957067413,46.62239983341911,17.197304314508948,1.110748,1.1108188333333333
24,2019-08-05 02:00:00,1.11056,1.11086,1.11054,1.11079,GBPUSD,0,2,0,32,8,2019,5,-3.428267899850024e-05,1.111186038814032,1.1104219611859683,50.505896804497574,17.218571947288787,1.1107550000000002,1.1108164999999999
25,2019-08-05 02:05:00,1.11079,1.11088,1.11073,1.11087,GBPUSD,5,2,0,32,8,2019,5,-3.464729375617957e-05,1.111164576168882,1.1104274238311183,51.76853745085971,17.20677560277282,1.1107656666666665,1.1108149999999999
26,2019-08-05 02:10:00,1.11087,1.1109,1.1108,1.11085,GBPUSD,10,2,0,32,8,2019,5,-3.229306025715609e-05,1.1111504674927355,1.1104295325072644,51.42922518969474,17.162283392090643,1.1107776666666667,1.1108128333333334
27,2019-08-05 02:15:00,1.11085,1.11087,1.11077,1.11083,GBPUSD,15,2,0,32,8,2019,5,-2.860360405639304e-05,1.1111166855184598,1.11044031448154,51.08286167886024,17.155691419051507,1.1107873333333333,1.1108126666666667
28,2019-08-05 02:20:00,1.11083,1.11089,1.1108,1.11086,GBPUSD,20,2,0,32,8,2019,5,-2.3726837646145232e-05,1.1110775339075671,1.1104574660924331,51.58878263752382,17.114526864733964,1.1108006666666668,1.1108163333333332
