,time,Open,High,Low,Close,symbol,minute,hour,weekday,week,month,year,day,macd,boll_ub,boll_lb,rsi_30,dx_30,close_30_sma,close_60_sma
0,2018-01-29 00:00:00,1.24233,1.24256,1.24222,1.24236,GBPUSD,0,0,0,5,1,2018,29,-1.4377144982067513e-05,1.2433416946359723,1.2407993053640278,48.906606382669224,16.487014071934432,1.2420086666666665,1.242736
1,2018-01-29 00:05:00,1.24227,1.24236,1.24177,1.24193,GBPUSD,5,0,0,5,1,2018,29,-3.3330764707157156e-06,1.2433193474757218,1.240888652524278,46.846712659240545,16.720447866665953,1.241991,1.242739
2,2018-01-29 00:10:00,1.24193,1.24203,1.2415,1.24155,GBPUSD,10,0,0,5,1,2018,29,-8.132677308971855e-06,1.2432668742028294,1.2409941257971706,45.10976686092708,17.07327008973649,1.2419656666666665,1.2427256666666664
3,2018-01-29 00:15:00,1.24155,1.2419,1.24142,1.24147,GBPUSD,15,0,0,5,1,2018,29,-2.3868997405511324e-05,1.2432682800547366,1.2409907199452632,44.748428078516575,17.451072557061824,1.2419466666666668,1.2427096666666666
4,2018-01-29 00:20:00,1.24144,1.24171,1.24143,1.24165,GBPUSD,20,0,0,5,1,2018,29,-4.270912020606022e-05,1.2432530901423853,1.2410299098576147,45.75970892224669,17.816281608809646,1.2419316666666667,1.2426943333333331
5,2018-01-29 00:25:00,1.24164,1.2421,1.24164,1.24196,GBPUSD,25,0,0,5,1,2018,29,-5.746380437187508e-05,1.2430984748672924,1.2413085251327076,47.47258374930553,17.847256181807793,1.241928,1.2426858333333333
6,2018-01-29 00:30:00,1.24196,1.24197,1.24161,1.24182,GBPUSD,30,0,0,5,1,2018,29,-7.0986996424288e-05,1.24307908547246,1.24135391452754,46.78238279993312,17.89335520586966,1.241921,1.242677
7,2018-01-29 00:35:00,1.24184,1.24187,1.24174,1.24178,GBPUSD,35,0,0,5,1,2018,29,-8.350578791872718e-05,1.2430851179412976,1.2413278820587024,46.58220865967978,17.93791759579613,1.2419246666666666,1.2426696666666668
8,2018-01-29 00:40:00,1.24178,1.24183,1.24167,1.2417,GBPUSD,40,0,0,5,1,2018,29,-9.582481155968548e-05,1.243089916815051,1.2412750831849484,46.17344603947262,18.02324295162784,1.2419283333333335,1.2426543333333335
9,2018-01-29 00:45:00,1.24171,1.24171,1.24128,1.2413,GBPUSD,45,0,0,5,1,2018,29,-0.00011353620325756665,1.2431307134154128,1.241151286584587,44.16870171351446,18.32455173521319,1.2419303333333331,1.2426288333333335
