,time,Open,High,Low,Close,symbol,minute,hour,weekday,week,month,year,day,macd,boll_ub,boll_lb,rsi_30,dx_30,close_30_sma,close_60_sma
0,2018-07-23 00:00:00,1.17265,1.17278,1.1726,1.17274,GBPUSD,0,0,0,30,7,2018,23,-1.3929733686490885e-05,1.1730807185334065,1.171765281466593,56.778513239600905,24.131648164411832,1.172457,1.1720168333333334
1,2018-07-23 00:05:00,1.17274,1.17275,1.17266,1.17267,GBPUSD,5,0,0,30,7,2018,23,-1.2536932016145137e-05,1.1730497811243337,1.1717772188756663,56.14258626242974,23.897743806961667,1.1724539999999999,1.1720491666666668
2,2018-07-23 00:10:00,1.17267,1.1727,1.17251,1.17257,GBPUSD,10,0,0,30,7,2018,23,-7.483929791401863e-06,1.173030496416678,1.1717815035833221,55.22844923961533,23.50968770870198,1.1724556666666668,1.1720796666666666
3,2018-07-23 00:15:00,1.17257,1.17257,1.17218,1.17249,GBPUSD,15,0,0,30,7,2018,23,-1.6609673818245296e-06,1.1729521859575451,1.1718128140424546,54.49413509926185,22.812393889596947,1.1724523333333332,1.17211
4,2018-07-23 00:20:00,1.17249,1.17253,1.17248,1.17252,GBPUSD,20,0,0,30,7,2018,23,4.821760002762778e-06,1.172947838185335,1.171813161814665,54.727645724395856,22.13834319779542,1.1724459999999999,1.1721338333333333
5,2018-07-23 00:25:00,1.17253,1.17254,1.17251,1.17251,GBPUSD,25,0,0,30,7,2018,23,1.1207646084303566e-05,1.1729424410236418,1.171813558976358,54.63097827650906,21.49657799995384,1.1724463333333333,1.1721623333333333
6,2018-07-23 00:30:00,1.17255,1.17279,1.17255,1.17261,GBPUSD,30,0,0,30,7,2018,23,1.8767972315586682e-05,1.1729410554292183,1.1718139445707818,55.44510529026912,21.112502447789712,1.1724513333333333,1.1721978333333332
7,2018-07-23 00:35:00,1.17263,1.17269,1.17242,1.1725,GBPUSD,35,0,0,30,7,2018,23,2.4870328325916802e-05,1.1729280991824726,1.1718159008175273,54.33559053046687,20.60001643369303,1.1724646666666667,1.1722316666666666
8,2018-07-23 00:40:00,1.17252,1.17257,1.17244,1.1725,GBPUSD,40,0,0,30,7,2018,23,2.968227675260608e-05,1.1728796692480397,1.1718343307519605,54.33559053046687,20.1046132867329,1.1724706666666664,1.1722636666666666
9,2018-07-23 00:45:00,1.1725,1.17256,1.17248,1.17249,GBPUSD,45,0,0,30,7,2018,23,3.320597634491568e-05,1.1728699994255343,1.1718360005744657,54.23001496305242,19.625723578004774,1.1724646666666667,1.1722925000000002
