,time,Open,High,Low,Close,symbol,minute,hour,weekday,week,month,year,day,macd,boll_ub,boll_lb,rsi_30,dx_30,close_30_sma,close_60_sma
0,2018-11-05 00:00:00,1.13859,1.13889,1.13859,1.13884,GBPUSD,0,0,0,45,11,2018,5,7.771762263644293e-05,1.1398086072900522,1.1386583927099478,46.32444439199086,19.535597706036384,1.1390516666666668,1.1386414999999999
1,2018-11-05 00:05:00,1.13884,1.13957,1.13866,1.13926,GBPUSD,5,0,0,45,11,2018,5,6.147843624828212e-05,1.1398066431160818,1.1386573568839182,50.201522614492546,19.133609594609197,1.1390703333333334,1.1386618333333334
2,2018-11-05 00:10:00,1.13926,1.13953,1.13896,1.13905,GBPUSD,10,0,0,45,11,2018,5,4.856483752996683e-05,1.1397943295832516,1.1386396704167483,48.39348213884364,18.745021086896248,1.139097,1.1386835
3,2018-11-05 00:15:00,1.13906,1.13918,1.13906,1.13911,GBPUSD,15,0,0,45,11,2018,5,3.9259180788112384e-05,1.1397922226872117,1.1386337773127888,48.93704826850774,18.369385529440393,1.1391316666666669,1.1387046666666667
4,2018-11-05 00:20:00,1.13908,1.13928,1.13871,1.13908,GBPUSD,20,0,0,45,11,2018,5,3.213461798998087e-05,1.1397733608890008,1.1386216391109993,48.671881420202496,17.820225234041224,1.1391566666666668,1.1387225
5,2018-11-05 00:25:00,1.13913,1.13918,1.13869,1.13885,GBPUSD,25,0,0,45,11,2018,5,2.300784701156841e-05,1.1397504462151749,1.138584553784825,46.666413500239436,17.305916823164274,1.1391683333333333,1.1387311666666666
6,2018-11-05 00:30:00,1.13885,1.1391,1.13869,1.13908,GBPUSD,30,0,0,45,11,2018,5,1.6721647283083894e-05,1.13972506775885,1.1385779322411502,48.846800792494555,16.80875202598322,1.139165,1.1387443333333331
7,2018-11-05 00:35:00,1.13908,1.13939,1.13891,1.13938,GBPUSD,35,0,0,45,11,2018,5,1.7293608330003262e-05,1.1397060814418418,1.138584918558158,51.52105500363028,16.44579558628278,1.139181,1.1387753333333335
8,2018-11-05 00:40:00,1.13939,1.13945,1.1389,1.13907,GBPUSD,40,0,0,45,11,2018,5,1.714886396573583e-05,1.1396247591291868,1.138608240870813,48.794201544621714,16.14771417263212,1.1391883333333332,1.1387913333333335
9,2018-11-05 00:45:00,1.13907,1.13914,1.13894,1.1391,GBPUSD,45,0,0,45,11,2018,5,1.700203702211404e-05,1.1396002342138845,1.1386077657861158,49.06408977218755,15.859568806103152,1.1391926666666665,1.1388055000000001
