,time,Open,High,Low,Close,symbol,minute,hour,weekday,week,month,year,day,macd,boll_ub,boll_lb,rsi_30,dx_30,close_30_sma,close_60_sma
0,2018-01-15 00:00:00,1.21944,1.21988,1.21912,1.21975,GBPUSD,0,0,0,3,1,2018,15,0.0006952109678225477,1.2209075622227357,1.2175364377772644,62.4760649041091,41.45352511116313,1.2187873333333334,1.2167766666666668
1,2018-01-15 00:05:00,1.21979,1.22063,1.21967,1.22027,GBPUSD,5,0,0,3,1,2018,15,0.0006797501201951232,1.220973560102489,1.2177024398975111,64.41562529681784,41.83576657174328,1.2188706666666667,1.216894
2,2018-01-15 00:10:00,1.22019,1.22047,1.22012,1.22019,GBPUSD,10,0,0,3,1,2018,15,0.0006682611560338993,1.2210251740603209,1.2178478259396792,63.89004626133099,42.20526665030408,1.218955,1.2170081666666666
3,2018-01-15 00:15:00,1.22017,1.22028,1.21987,1.2202,GBPUSD,15,0,0,3,1,2018,15,0.0006585004037766755,1.2210526494990759,1.218016350500924,63.9281045311027,42.42560165345852,1.2190233333333331,1.2171346666666665
4,2018-01-15 00:20:00,1.22016,1.22017,1.21998,1.22009,GBPUSD,20,0,0,3,1,2018,15,0.0006470786946459231,1.2210280056643705,1.2182299943356292,63.170483104872226,42.63859215650781,1.2190909999999997,1.2172539999999998
5,2018-01-15 00:25:00,1.22012,1.22026,1.22002,1.22002,GBPUSD,25,0,0,3,1,2018,15,0.0006326230424385433,1.2209462050079956,1.2184977949920048,62.68146138852514,42.862396183191656,1.2191556666666667,1.2173753333333333
6,2018-01-15 00:30:00,1.22002,1.22033,1.21984,1.22021,GBPUSD,30,0,0,3,1,2018,15,0.0006186130258146451,1.220906609503197,1.2187073904968027,63.475384452080505,42.97289594528434,1.219233,1.217489
7,2018-01-15 00:35:00,1.22021,1.22022,1.21986,1.21997,GBPUSD,35,0,0,3,1,2018,15,0.0006003777491154986,1.2208378592705325,1.2189041407294674,61.75853708208255,43.07971238197395,1.219304,1.2176064999999998
8,2018-01-15 00:40:00,1.21996,1.21999,1.21936,1.21977,GBPUSD,40,0,0,3,1,2018,15,0.0005758908190700301,1.220724439243704,1.2189305607562961,60.351338892553656,42.89737995025092,1.2193676666666666,1.2177156666666666
9,2018-01-15 00:45:00,1.21979,1.2198,1.2196,1.2196,GBPUSD,45,0,0,3,1,2018,15,0.0005447442967777554,1.2206661342764515,1.2189188657235486,59.165919390751405,42.72112526625199,1.2194290000000003,1.2178175
10,2018-01-15 00:50:00,1.21961,1.21987,1.2196,1.21982,GBPUSD,50,0,0,3,1,2018,15,0.0005133248123158744,1.2205872917256542,1.2189387082743457,60.212162264099845,42.56897365465462,1.219486,1.2179221666666669
11,2018-01-15 00:55:00,1.21984,1.22049,1.21982,1.22026,GBPUSD,55,0,0,3,1,2018,15,0.0004892312736856844,1.2206217274504239,1.2189282725495758,62.21516049320559,42.57282160861987,1.219563,1.2180361666666668
