,time,Open,High,Low,Close,symbol,minute,hour,weekday,week,month,year,day,macd,boll_ub,boll_lb,rsi_30,dx_30,close_30_sma,close_60_sma
0,2019-04-01 00:20:00,1.12179,1.12179,1.12179,1.12179,GBPUSD,20,0,0,14,4,2019,1,-6.999498744784216e-05,1.1219301625772664,1.1215478374227337,47.54207645833649,9.386354501052189,1.1217436666666667,1.1219678333333334
1,2019-04-01 00:55:00,1.12289,1.12292,1.12264,1.12273,GBPUSD,55,0,0,14,4,2019,1,-4.9059178632121186e-05,1.1222719066213815,1.121314093378618,57.172287892638565,10.11764232776618,1.1217763333333333,1.1219685000000001
2,2019-04-01 01:00:00,1.12255,1.12264,1.12244,1.12262,GBPUSD,0,1,0,14,4,2019,1,-2.1159091572582076e-05,1.1224404187938193,1.1212315812061808,55.92934115640363,10.56011342237921,1.1218046666666666,1.1219701666666668
3,2019-04-01 01:05:00,1.12259,1.12261,1.12257,1.12261,GBPUSD,5,1,0,14,4,2019,1,9.532183193522885e-06,1.1225734277790487,1.1211855722209512,55.81522419700038,10.98783548050514,1.1218336666666666,1.1219705
4,2019-04-01 01:10:00,1.12262,1.12267,1.12256,1.12259,GBPUSD,10,1,0,14,4,2019,1,4.002321890885821e-05,1.1226778023643225,1.1211511976356778,55.580592375685775,11.451634248982451,1.1218653333333333,1.1219751666666666
5,2019-04-01 01:15:00,1.12263,1.12263,1.1224,1.1224,GBPUSD,15,1,0,14,4,2019,1,6.566779814713571e-05,1.1227289063632693,1.1211420936367307,53.375518191821854,11.680252138589058,1.1218970000000001,1.1219755
6,2019-04-01 01:20:00,1.1224,1.12251,1.1224,1.1224,GBPUSD,20,1,0,14,4,2019,1,8.678071094249009e-05,1.1227821596733902,1.1211468403266098,53.375518191821854,11.901249431875446,1.1219183333333334,1.1219729999999999
7,2019-04-01 01:25:00,1.1224,1.12242,1.1224,1.12241,GBPUSD,25,1,0,14,4,2019,1,0.00010390824259359468,1.1228313182427898,1.1211666817572106,53.47947132599875,12.114880148718953,1.1219326666666667,1.1219745
8,2019-04-01 01:30:00,1.1224,1.12242,1.1224,1.12242,GBPUSD,30,1,0,14,4,2019,1,0.00011756267729836375,1.1228720661969223,1.1212049338030776,53.58652237729025,12.32138984166768,1.1219486666666667,1.1219755000000002
9,2019-04-01 01:35:00,1.12242,1.12251,1.12242,1.1225,GBPUSD,35,1,0,14,4,2019,1,0.00012933285824636066,1.122915272712404,1.1212507272875958,54.45390493999435,12.62497036433819,1.1219663333333334,1.121979
10,2019-04-01 01:40:00,1.1225,1.12251,1.12232,1.12232,GBPUSD,40,1,0,14,4,2019,1,0.00013613844249201908,1.122934309952079,1.121289690047921,52.18398974431364,12.73958680812658,1.1219926666666666,1.1219824999999999
11,2019-04-01 01:45:00,1.12233,1.12237,1.12232,1.12237,GBPUSD,45,1,0,14,4,2019,1,0.0001399629874823306,1.1229534286317655,1.1213345713682346,52.749972790593176,12.850382703788693,1.1220166666666667,1.12198
12,2019-04-01 01:50:00,1.12237,1.12237,1.12233,1.12237,GBPUSD,50,1,0,14,4,2019,1,0.00014139958189149224,1.1229662041247586,1.1213867958752413,52.749972790593176,12.957485402928734,1.1220369999999997,1.1219835
13,2019-04-01 01:55:00,1.12237,1.12237,1.12212,1.12218,GBPUSD,55,1,0,14,4,2019,1,0.000137910529205264,1.122963210067684,1.1214307899323162,50.32746462900235,12.682260252772936,1.1220516666666667,1.1219876666666666
14,2019-04-01 02:00:00,1.12217,1.12232,1.12217,1.12217,GBPUSD,0,2,0,14,4,2019,1,0.0001310432081004089,1.122958877055584,1.121472122944416,50.20193878370979,12.416209274288999,1.122061,1.1219928333333333
15,2019-04-01 02:05:00,1.1222,1.12224,1.12213,1.12222,GBPUSD,5,2,0,14,4,2019,1,0.00012291749693787963,1.122936848386924,1.1215521516130762,50.836198054549776,12.087437733217216,1.122069,1.1219988333333333
16,2019-04-01 02:10:00,1.12222,1.12232,1.12222,1.12227,GBPUSD,10,2,0,14,4,2019,1,0.0001149465814310966,1.1228966662140965,1.1216613337859036,51.47554749586239,11.905737091230977,1.122084,1.1220063333333334
17,2019-04-01 02:15:00,1.12226,1.12227,1.12202,1.12206,GBPUSD,15,2,0,14,4,2019,1,0.00010387812354381671,1.1228588489565274,1.121737151043473,48.72261257703177,11.637137077163189,1.1220953333333332,1.1220083333333333
18,2019-04-01 02:20:00,1.12208,1.12217,1.12206,1.12216,GBPUSD,20,2,0,14,4,2019,1,9.280709529349083e-05,1.122820152329439,1.1218178476705607,50.038841507527295,11.37749039689766,1.122113,1.1220123333333334
19,2019-04-01 02:25:00,1.12217,1.12227,1.12213,1.12226,GBPUSD,25,2,0,14,4,2019,1,8.369873303657077e-05,1.1227791318145925,1.1219058681854075,51.331189670073776,11.047833194098933,1.1221346666666667,1.1220163333333335
20,2019-04-01 02:30:00,1.12225,1.12237,1.12223,1.12233,GBPUSD,30,2,0,14,4,2019,1,7.72240499752344e-05,1.1227207069032419,1.1220182930967582,52.22605853794173,10.895888821087004,1.1221543333333335,1.1220163333333333
21,2019-04-01 02:35:00,1.12232,1.12242,1.12231,1.12237,GBPUSD,35,2,0,14,4,2019,1,7.320168700331142e-05,1.1226591070193563,1.122043892980644,52.73973542582766,10.82795612154935,1.1221756666666667,1.1220231666666665
22,2019-04-01 02:40:00,1.12237,1.12248,1.12237,1.12246,GBPUSD,40,2,0,14,4,2019,1,7.219630565171809e-05,1.122629251040775,1.122057748959225,53.89362877526963,10.85396328399538,1.1222003333333332,1.1220393333333334
23,2019-04-01 02:45:00,1.12245,1.12246,1.12238,1.12242,GBPUSD,45,2,0,14,4,2019,1,7.233188706032473e-05,1.12259391086415,1.1220740891358498,53.29535547219246,10.879103541026543,1.122222,1.1220445000000001
24,2019-04-01 02:50:00,1.12242,1.12248,1.12239,1.12242,GBPUSD,50,2,0,14,4,2019,1,7.301063541958066e-05,1.1225600409277214,1.1220909590722787,53.29535547219247,10.934591089584654,1.1222426666666665,1.1220471666666667
25,2019-04-01 02:55:00,1.12242,1.12242,1.1223,1.12232,GBPUSD,55,2,0,14,4,2019,1,7.223240158794948e-05,1.1225534050950108,1.1220895949049892,51.75816532260235,10.809963017903002,1.1222653333333334,1.1220461666666668
26,2019-04-01 03:00:00,1.12233,1.12234,1.1221,1.12216,GBPUSD,0,3,0,14,4,2019,1,6.786441704190788e-05,1.1225490148043695,1.1220699851956306,49.39982291175378,10.553244038576633,1.1222846666666666,1.1220386666666664
27,2019-04-01 03:05:00,1.12216,1.12237,1.12213,1.12236,GBPUSD,5,3,0,14,4,2019,1,6.451162971761667e-05,1.1225431176656633,1.1220708823343366,52.215288513592554,10.25364166407249,1.1223073333333333,1.1220393333333334
28,2019-04-01 03:10:00,1.12236,1.12242,1.12228,1.12238,GBPUSD,10,3,0,14,4,2019,1,6.2142960261648e-05,1.1225377410452488,1.1220722589547514,52.48876360617375,9.945541497609236,1.1223286666666668,1.1220426666666667
29,2019-04-01 03:15:00,1.12237,1.1225,1.12231,1.12235,GBPUSD,15,3,0,14,4,2019,1,5.989501753164062e-05,1.122512796550528,1.122082203449472,52.0267339113513,9.77751345431263,1.1223473333333334,1.1220483333333333
30,2019-04-01 03:20:00,1.12235,1.12249,1.12227,1.12244,GBPUSD,20,3,0,14,4,2019,1,5.913996942250074e-05,1.1225279313854497,1.12207906861455,53.302416032973824,9.548293211078168,1.122369,1.1220563333333333
31,2019-04-01 03:25:00,1.12245,1.1225,1.12234,1.12249,GBPUSD,25,3,0,14,4,2019,1,6.002314845370316e-05,1.1225474273981184,1.1220715726018817,54.005328833448296,9.346320066138022,1.1223610000000002,1.1220686666666666
32,2019-04-01 03:30:00,1.1225,1.12253,1.12228,1.12233,GBPUSD,30,3,0,14,4,2019,1,5.9197327365048395e-05,1.1225439540111877,1.1220710459888124,51.4420348682588,9.044648494847916,1.1223513333333335,1.122078
33,2019-04-01 03:35:00,1.12234,1.12238,1.12218,1.12218,GBPUSD,35,3,0,14,4,2019,1,5.4815543939590096e-05,1.1225439540111877,1.1220710459888124,49.17827864707036,8.94364294764309,1.1223370000000001,1.1220853333333334
34,2019-04-01 03:40:00,1.12218,1.12235,1.12212,1.12234,GBPUSD,40,3,0,14,4,2019,1,5.086242337951834e-05,1.1225437024245462,1.122088297575454,51.53181160896656,8.950843359927351,1.1223286666666668,1.122097
35,2019-04-01 03:45:00,1.12235,1.12261,1.12235,1.1226,GBPUSD,45,3,0,14,4,2019,1,5.141743190780255e-05,1.122590672435248,1.1220793275647523,55.03244634637923,8.818063607813317,1.1223353333333332,1.1221161666666668
36,2019-04-01 03:50:00,1.12259,1.12276,1.12259,1.12264,GBPUSD,50,3,0,14,4,2019,1,5.528993985765273e-05,1.1226409405649127,1.1220660594350873,55.54346356654916,8.9140118180046,1.1223433333333335,1.1221308333333335
37,2019-04-01 03:55:00,1.12262,1.12281,1.1225,1.1228,GBPUSD,55,3,0,14,4,2019,1,6.346547850437858e-05,1.1227078226391343,1.1220731773608659,57.540097792197614,8.859168039873625,1.1223563333333333,1.1221445
38,2019-04-01 04:00:00,1.12279,1.12287,1.12278,1.12283,GBPUSD,0,4,0,14,4,2019,1,7.424347999837437e-05,1.1227781869480253,1.1220698130519748,57.906788142386226,8.887250933404781,1.12237,1.1221593333333333
39,2019-04-01 04:05:00,1.12283,1.12283,1.12255,1.12262,GBPUSD,5,4,0,14,4,2019,1,8.256801087964542e-05,1.1227976816649536,1.1220863183350462,54.498573608404634,8.600387773221714,1.122374,1.1221701666666666
40,2019-04-01 04:10:00,1.12262,1.12264,1.12254,1.12263,GBPUSD,10,4,0,14,4,2019,1,8.888972320902586e-05,1.1228180568907586,1.1220959431092414,54.63011701007803,8.336882100540995,1.1223843333333334,1.1221885
41,2019-04-01 04:15:00,1.12262,1.1227,1.12259,1.12264,GBPUSD,15,4,0,14,4,2019,1,9.358165956440976e-05,1.1228379936081747,1.1221030063918251,54.76539840836368,8.119119327685869,1.1223933333333334,1.1222050000000001
42,2019-04-01 04:20:00,1.12263,1.12264,1.12259,1.12263,GBPUSD,20,4,0,14,4,2019,1,9.663328916524678e-05,1.1228532725919733,1.1221047274080262,54.59699053735703,7.908615313925912,1.1224020000000001,1.1222195
43,2019-04-01 04:25:00,1.12262,1.12289,1.1226,1.12283,GBPUSD,25,4,0,14,4,2019,1,0.00010146747118201575,1.1229038695215343,1.1220951304784657,57.312845614117336,8.02836807959678,1.1224236666666667,1.1222376666666667
44,2019-04-01 04:30:00,1.12283,1.12283,1.12268,1.12277,GBPUSD,30,4,0,14,4,2019,1,0.00010597697686104239,1.1229368796499872,1.1220971203500127,56.268293277099005,8.144129086411949,1.1224436666666666,1.1222523333333332
45,2019-04-01 04:35:00,1.12276,1.12281,1.12268,1.12268,GBPUSD,35,4,0,14,4,2019,1,0.00010836914555922699,1.1229501600508756,1.1221198399491246,54.72074311347915,8.256031392999946,1.1224589999999999,1.1222640000000002
46,2019-04-01 04:40:00,1.12268,1.1228,1.12268,1.12274,GBPUSD,40,4,0,14,4,2019,1,0.00011001907677510192,1.1229487842518564,1.1221792157481438,55.563596226603835,8.364203622701675,1.1224746666666665,1.1222793333333334
47,2019-04-01 04:45:00,1.12276,1.12294,1.12255,1.12256,GBPUSD,45,4,0,14,4,2019,1,0.00010799474519353948,1.1229466660342837,1.1222013339657162,52.52903081058062,8.638774870295375,1.1224913333333333,1.1222933333333331
48,2019-04-01 04:50:00,1.12255,1.1228,1.12253,1.12271,GBPUSD,50,4,0,14,4,2019,1,0.0001059205962032188,1.1229561558267498,1.1222248441732499,54.663529417122845,8.872337748132574,1.1225096666666667,1.1223113333333332
